Fecha_Exacta,Hora_Extraida,Turno_Asignado
"2025-10-15 11:12:52",11,"1. Mañana (06:00 - 11:59)"
"2025-01-10 08:48:58",8,"1. Mañana (06:00 - 11:59)"
"2025-01-10 07:11:15",7,"1. Mañana (06:00 - 11:59)"
"2025-10-23 09:03:21",9,"1. Mañana (06:00 - 11:59)"
"2025-11-26 00:25:37",0,"4. Madrugada (22:00 - 05:59)"
"2025-10-26 17:40:10",17,"3. Noche - Hora Pico (17:00 - 21:59)"
"2025-08-15 16:50:36",16,"2. Tarde (12:00 - 16:59)"
"2025-07-23 07:31:05",7,"1. Mañana (06:00 - 11:59)"
"2025-04-22 16:05:11",16,"2. Tarde (12:00 - 16:59)"
"2025-10-21 21:34:14",21,"3. Noche - Hora Pico (17:00 - 21:59)"
