genero_usuario,edad_usuario,Generacion,nombre_estacion_origen,duracion_recorrido
FEMALE,25,"Millennials Jóvenes","235 - COMUNA 13",560
MALE,33,"Millennials Jóvenes","218 - Campana",1657
MALE,33,"Millennials Jóvenes","243 - PLAZOLETA CELEDONIO FLORES",1794
MALE,33,"Millennials Jóvenes","243 - PLAZOLETA CELEDONIO FLORES",247
MALE,33,"Millennials Jóvenes","243 - PLAZOLETA CELEDONIO FLORES",1460
MALE,33,"Millennials Jóvenes","310 - FREIRE II",1654
MALE,33,"Millennials Jóvenes","218 - Campana",1604
MALE,33,"Millennials Jóvenes","218 - Campana",636
MALE,33,"Millennials Jóvenes","218 - Campana",661
MALE,33,"Millennials Jóvenes","258 - Plaza J.J. Paso",2922
MALE,33,"Millennials Jóvenes","218 - Campana",1525
MALE,33,"Millennials Jóvenes","218 - Campana",1992
MALE,33,"Millennials Jóvenes","218 - Campana",1861
MALE,33,"Millennials Jóvenes","218 - Campana",1632
OTHER,26,"Millennials Jóvenes","113 - Guatemala",1407
MALE,25,"Millennials Jóvenes","056 - Plaza Palermo Viejo",648
MALE,25,"Millennials Jóvenes","069 - Ecuador",983
MALE,32,"Millennials Jóvenes","004 - Plaza Roma",393
MALE,32,"Millennials Jóvenes","004 - Plaza Roma",1282
MALE,32,"Millennials Jóvenes","004 - Plaza Roma",66
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",290
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",414
MALE,27,"Millennials Jóvenes","089 - Cabello",249
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",312
MALE,27,"Millennials Jóvenes","181 - BILLINGHURST Y MANSILLA",454
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",286
MALE,27,"Millennials Jóvenes","089 - Cabello",303
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",408
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",328
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",936
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",500
MALE,27,"Millennials Jóvenes","009 - Parque Las Heras",857
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",291
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",336
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",871
MALE,27,"Millennials Jóvenes","156 - Plaza Alemania",575
MALE,27,"Millennials Jóvenes","181 - BILLINGHURST Y MANSILLA",369
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",369
MALE,27,"Millennials Jóvenes","189 - POSADAS",708
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",550
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",310
MALE,27,"Millennials Jóvenes","065 - Julián Álvarez",436
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",815
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",358
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",192
MALE,27,"Millennials Jóvenes","009 - Parque Las Heras",235
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",238
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",86
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",247
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",252
MALE,27,"Millennials Jóvenes","089 - Cabello",408
